"SOLUCION [10.0, 0.0]"
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"S16m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S26m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S36m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"q16m int#1";"[274.8461538461538]";"[675.9230769230771]";"[89.99999999999999]";"[400.07692307692304]";"[169.07692307692307]";"[1098.0]";"[99.61538461538461]";"[361.2307692307691]"
"q26m int#2";"[220.61538461538464]";"[807.9230769230768]";"[86.07692307692305]";"[380.4615384615385]";"[202.1538461538462]";"[881.0000000000002]";"[94.92307692307692]";"[343.5384615384614]"
"q36m int#3";"[181.00000000000003]";"[992.9999999999999]";"[87.69230769230772]";"[387.0000000000001]";"[248.69230769230768]";"[724.0000000000001]";"[96.15384615384617]";"[387.0000000000001]"
""
""
"k = fase";"1";"2";"3";"4";"5";"6";"7";"8";"Cio";"PHIio"
"m = movimiento";"WBL";"EBT";"NBL";"SBT";"EBL";"WBT";"SBL";"NBT"
"g17m int#1";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[17.0]";"[27.0]";"[5.0]";"[24.0]";"[65.01096526140483]";"[24.010526650948638]"
"g27m int#2";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[16.0]";"[24.0]";"[6.0]";"[27.0]";"[65.01096526140483]";"[24.010526650948638]"
"g37m int#3";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[16.0]";"[25.0]";"[6.0]";"[26.0]";"[65.01096526140483]";"[24.010526650948638]"
"X17m int#1";"[0.6214075698862199]";"[0.3370203865273021]";"[0.6831660756283219]";"[0.6222541971324448]";"[0.37743155688997204]";"[0.5545355269396685]";"[0.7679261346392801]";"[0.5531401862339363]"
"X27m int#2";"[0.5292206184496694]";"[0.45244652766650634]";"[0.542935266886859]";"[0.5247291828539484]";"[0.4783645830430947]";"[0.5000592888166789]";"[0.6079179787952603]";"[0.46633582711131405]"
"X37m int#3";"[0.4338655520623417]";"[0.5332228299251724]";"[0.5523530512214103]";"[0.5529120871880671]";"[0.5881994928447944]";"[0.39405323501801615]";"[0.6145104278294462]";"[0.5529120871880671]"
"S17m int#1";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S27m int#2";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
"S37m int#3";"[1770]";"[4989]";"[1770]";"[1827]";"[1770]";"[4989]";"[1770]";"[1827]"
